id,name,lat,long,size
581488,Zvončín,48.3999,17.5042,645
518972,Zvolenská Slatina,48.5614,19.26,2313
518158,Zvolen,48.5759,19.1256,34560
517399,Župkov,48.5267,18.627,711
525511,Župčany,49.0123,21.1567,1101
510246,Zubrohlava,49.4496,19.5097,1605
521116,Zubné,49.0459,22.0632,301
510238,Zuberec,49.2612,19.6116,1704
500348,Zubák,49.1501,18.2155,723
516562,Zombor,48.1355,19.4481,104
508381,Zohor,48.3175,16.9829,2685
507792,Žlkovce,48.4589,17.7166,560
513865,Zliechov,48.9531,18.4345,507
500976,Zlatno,48.4629,18.3157,205
582051,Zlatno,48.5202,19.8192,379
505790,Zlatníky,48.7123,18.1219,567
529281,Zlatník,48.9667,21.5406,73
501425,Zlatná na Ostrove,47.7696,17.9698,2043
500968,Zlaté Moravce,48.3832,18.3976,10477
502022,Zlaté Klasy,48.1178,17.4208,2724
519979,Zlaté,49.3393,21.2002,596
522244,Zlatá Idka,48.7522,21.0064,354
525472,Zlatá Baňa,48.9467,21.425,341
505811,Žitná-Radiša,48.7665,18.3444,395
501018,Žitavce,48.2004,18.3011,327
582816,Žitavany,48.3977,18.4187,1603
500992,Žirany,48.3815,18.172,1132
525502,Žipov,48.9661,21.0854,215
515841,Žíp,48.3646,20.2017,145
517402,Žilina,49.2216,18.742,69455
500984,Žikava,48.4446,18.3827,436
504190,Žihárec,48.0729,17.8814,1366
518999,Žibritov,48.3908,18.9842,66
516589,Žiar nad Hronom,48.5883,18.8494,15419
511200,Žiar,49.1308,19.6653,354
515833,Žiar,48.4371,20.2735,118
544043,Zemplínsky Branč,48.5434,21.7219,380
522635,Zemplínske Kopčany,48.5895,21.9224,239
544035,Zemplínske Jastrabie,48.4979,21.7758,535
544027,Zemplínske Hradište,48.5837,21.7357,949
521108,Zemplínske Hámre,48.9501,22.1547,1026
544019,Zemplínska Teplica,48.6461,21.5738,1168
523364,Zemplínska Široká,48.6931,21.977,730
544001,Zemplínska Nová Ves,48.577,21.6681,734
543993,Zemplín,48.4389,21.8116,298
503649,Zemné,47.9832,17.9985,1790
503002,Žemliare,48.1478,18.6037,136
518956,Zemiansky Vrbovok,48.3335,19.1433,91
